soundname, nsyll, npause, dur (s), phonationtime (s), speechrate (nsyll/dur), articulation rate (nsyll / phonationtime), ASD (speakingtime/nsyll)
S01_C1, 9, 0, 2.57, 2.57, 3.51, 3.51, 0.285
S01_C2, 9, 0, 2.67, 2.67, 3.36, 3.36, 0.297
S02_C1, 6, 0, 2.52, 2.52, 2.38, 2.38, 0.419
S02_C2, 8, 0, 2.66, 2.66, 3.01, 3.01, 0.332
S03_C1, 8, 0, 2.43, 2.43, 3.30, 3.30, 0.303
S03_C2, 9, 0, 2.62, 2.62, 3.44, 3.44, 0.291
S04_C1, 9, 0, 2.87, 2.87, 3.14, 3.14, 0.319
S04_C2, 11, 0, 2.87, 2.87, 3.83, 3.83, 0.261
S05_C1, 7, 0, 2.07, 2.07, 3.38, 3.38, 0.296
S05_C2, 7, 0, 2.12, 2.12, 3.30, 3.30, 0.303
S06_C1, 4, 0, 2.01, 2.01, 1.99, 1.99, 0.502
S06_C2, 5, 0, 2.29, 2.29, 2.19, 2.19, 0.457
S07_C1, 7, 0, 2.58, 2.58, 2.72, 2.72, 0.368
S07_C2, 8, 0, 2.73, 2.73, 2.93, 2.93, 0.341
S08_C1, 7, 0, 2.24, 2.24, 3.12, 3.12, 0.320
S08_C2, 7, 0, 2.30, 2.30, 3.04, 3.04, 0.329
S09_C1, 8, 0, 2.30, 2.30, 3.48, 3.48, 0.287
S09_C2, 6, 0, 2.44, 2.44, 2.46, 2.46, 0.407
S10_C1, 10, 0, 2.63, 2.63, 3.81, 3.81, 0.263
S10_C2, 6, 0, 2.69, 2.69, 2.23, 2.23, 0.449
S11_C1, 8, 0, 2.55, 2.55, 3.14, 3.14, 0.319
S11_C2, 7, 0, 2.59, 2.59, 2.71, 2.71, 0.370
S12_C1, 9, 0, 2.77, 2.77, 3.25, 3.25, 0.308
S12_C2, 8, 0, 2.89, 2.89, 2.76, 2.76, 0.362
S13_C1, 8, 0, 2.65, 2.65, 3.02, 3.02, 0.331
S13_C2, 9, 0, 2.68, 2.68, 3.36, 3.36, 0.298
S14_C1, 6, 0, 2.22, 2.22, 2.71, 2.71, 0.370
S14_C2, 5, 0, 2.45, 2.45, 2.04, 2.04, 0.491
S15_C1, 7, 0, 2.40, 2.40, 2.91, 2.91, 0.343
S15_C2, 7, 0, 2.50, 2.50, 2.80, 2.80, 0.357
S16_C1, 9, 0, 2.47, 2.47, 3.65, 3.65, 0.274
S16_C2, 8, 0, 2.54, 2.54, 3.15, 3.15, 0.318
